"Part","Value","Device","Package","Description","MF","MPN","OC_FARNELL","OC_NEWARK",
"C1","10uF 10v","C-0805","C0805","Ceramic Capacitors","","","","",
"C2","DNP","CAP-AVX-A","AVX-A","Electrolytic Capacitors Tantalum Capacitors and Super Capacitors","","","","",
"C4","1uF 10v","C-0805","C0805","Ceramic Capacitors","","","","",
"C6","0.1uF 10v","C-EUC0805","C0805","CAPACITOR  European symbol","","","","",
"C7","0.1uF 10V","C-EUC0402","C0402","CAPACITOR  European symbol","","","","",
"C8","0.1uF 10v","C-EUC0805","C0805","CAPACITOR  European symbol","","","","",
"J_DIO1","","PINHD-1X2","1X02","PIN HEADER","","","","",
"J_DIO2","","PINHD-1X2","1X02","PIN HEADER","","","","",
"J_DIO5","","PINHD-1X2","1X02","PIN HEADER","","","","",
"PWR","Green","LEDCHIP-LED0603","CHIP-LED0603","LED","","","","",
"R1","3.3K","R-0603","R0603","","","","","",
"R2","3.3K","R-0603","R0603","","","","","",
"R3","3.3K","R-0603","R0603","","","","","",
"R4","3.3K","R-0603","R0603","","","","","",
"R5","0","R-US_R0603","R0603","RESISTOR  American symbol","","","","",
"R6","330R","R-US_R0402","R0402","RESISTOR  American symbol","","","","",
"R7","1K","R-US_R0402","R0402","RESISTOR  American symbol","","","","",
"R8","NL","R-US_R0402","R0402","RESISTOR  American symbol","","","","",
"R9","0R","R-0603","R0603","","","","","",
"R10","0R NL","R-0603","R0603","","","","","",
"R11","0R NL","R-0603","R0603","","","","","",
"SMA1","SMA-KWE","SMA-KWE","SMA-KWE","","","","","",
"SV1","","MA07-1","MA07-1","PIN HEADER","","","unknown","unknown",
"SV2","","MA03-1","MA03-1","PIN HEADER","","","unknown","unknown",
"SV3","","MA03-1","MA03-1","PIN HEADER","","","unknown","unknown",
"SV4","","MA03-1","MA03-1","PIN HEADER","","","unknown","unknown",
"U$1","LOGO-NEW","LOGO-NEW","LOGO-SILK-NEW","","","","","",
"U1","74VHC125MTCX","74VHC125PW","TSSOP14","Quad Buffer/Line Driver,3-state","","","","",
"U2","IC_74VHC125PW","IC_74VHC125PW","IC_TSSOP14","Quad Buffer/Line Driver,3-state","","","","",
"U4","RFM92_93W","RFM92_93W","RFM92_93W","","","","","",
"U5","","MOUDLE_ARDUINO-38P328P_NO_VIA","MOUDLE_ARDUINO-328P--","","","","","",
